userName,content,score,at,appVersion,sentiment,processed_content
Dwi Wahyuningtyas,Lebih ditingkatkan lagi Sukses selalu Go jeck,5,2022-06-14 05:23:58,4.45.1,positive,tingkat sukses go jeck
Indra Yogaswara,Order gofood yg datang beda sm yg dipesan Komplain dongeh gopaynya dibalikingercep bangetCm bingung ini makanannya dibalikin gak,5,2022-04-08 08:18:48,4.40.1,positive,order gofood beda pes komplain dongeh gopaynya dibalikingercep bangetcm bingung makan dibalikin
nikho prayoga,Mantap,5,2021-11-21 09:26:24,4.27.2,positive,mantap
Batikbagus Tenan,Nice,5,2022-07-30 10:53:39,4.42.2,positive,nice
Sutrisniati Wisnoe,Sangat baik pelayannya,5,2022-02-25 03:40:56,4.37.2,positive,layan
Leo Dolok,Siiiiip,5,2024-01-27 03:01:47,4.81.2,positive,siiiiip
Muhammad Rayshal,Kok udah sama cara nya untuk update ke gopay plus tapi gagal Mulu kenapa ya,3,2022-12-29 01:17:14,4.58.1,neutral,update gopay plus gagal mulu
Firdaus Daus,mantul,4,2022-03-01 00:33:03,4.26.1,positive,mantul
Dela Puzebang,murah banget dn banyak diskonnyaa,5,2023-12-05 03:37:22,4.78.3,positive,murah banget dn diskonnyaa
vania fahri,Tolong donk gimana ini aplikasi tarik tunai tdk bisa di pakai sjak 1 febuari 2023 pdhl sya udh biasa terima pmbyran lewat go payDan tdk ada pengumuman langsung aplikasinyasya bru tau ktika pas tarik tunai tdk bisalangsung ga brani simpan uang disini lgitrs gmn klanjutanya masa tdk ada klanjutannya proses penutupan smntra tarik tunaistdkny dksh tau dlu smpe tgl brpjd sya jg smntra off in fitur pembayaran gopay,1,2023-02-20 05:40:06,4.61.1,negative,tolong donk gimana aplikasi tarik tunai pakai sjak febuari pdhl sya terima pmbyran go paydan umum aplikasinyasya bru ktika pas tarik tunai bisalangsung brani simpan uang lgitrs klanjutanya klanjutannya proses tutup smntra tarik tunaistdkny dksh dlu smpe tgl brpjd sya jg smntra off in fitur bayar gopay
Maya cEnel Maya,Mantef brey,4,2023-10-06 11:10:58,4.75.1,positive,mantef brey
Lia Malo20,Pelayanannya bagus,5,2022-02-07 02:51:05,4.34.1,positive,layan bagus
Ramdhan Lucky,Sangat membantu ,5,2023-07-24 06:40:27,4.70.1,positive,bantu
Haryadi Cahyo,Mantap,5,2022-07-26 13:10:48,4.37.2,positive,mantap
Anita Bastami,Sangat membantu,5,2023-12-19 07:06:55,4.77.1,positive,bantu
Malik Abdul Aziz,Sekarang harga gofood makin mahal biaya makanan berbeda dari kita datang ke tempat ditambah sekarang biaya ongkirnya makin gak masuk akal dengan alasan supaya driver banyak yg ngambil,1,2021-12-05 13:29:09,4.33.1,negative,harga gofood mahal biaya makan beda tambah biaya ongkirnya akal alas driver ngambil
Mbah Jalu Lovers,Mantap Aplikasinya  Saya lebih mudah untuk pulang pergi kemana saja,5,2022-11-04 04:12:32,4.55.1,positive,mantap aplikasi mudah pulang pergi mana
Yuliati Eka Asi,Ongkir dan biaya penanganan gofood bisa dipertimbangkan lagi tks,3,2022-05-13 14:43:24,4.40.1,neutral,ongkir biaya tangan gofood timbang tks
Sulis Tya,Mau bayar gopaypinjam pusing udah mau jatuh tempo ehh pake gopay gak bisa atm harus bca ke alfa ternyata nggak emua ada Gimana solusinya min,5,2023-07-22 07:55:20,4.70.1,positive,bayar gopaypinjam pusing jatuh tempo ehh pake gopay atm bca alfa emua gimana solusi min
